"tick","Remaining Humans","Remaining Zombies"
1.0,50,5
2.0,50,5
3.0,50,5
4.0,50,5
5.0,50,5
6.0,50,5
7.0,50,5
8.0,49,6
9.0,49,6
10.0,49,6
11.0,48,7
12.0,47,8
13.0,47,8
14.0,47,8
15.0,46,9
16.0,46,9
17.0,46,9
18.0,46,9
19.0,46,9
20.0,45,10
21.0,44,11
22.0,42,13
23.0,42,13
24.0,41,14
25.0,41,14
26.0,41,14
27.0,41,14
28.0,38,17
29.0,38,17
30.0,38,17
31.0,38,17
32.0,36,19
33.0,34,21
34.0,34,21
35.0,33,22
36.0,33,22
37.0,33,22
38.0,33,22
39.0,31,24
40.0,31,24
41.0,30,25
42.0,30,25
43.0,30,25
44.0,30,25
45.0,30,25
46.0,29,26
47.0,29,26
48.0,27,28
49.0,24,31
50.0,24,31
51.0,24,31
52.0,24,31
53.0,24,31
54.0,24,31
55.0,24,31
56.0,22,33
57.0,22,33
58.0,22,33
59.0,21,34
60.0,21,34
61.0,20,35
62.0,20,35
63.0,19,36
64.0,19,36
65.0,19,36
66.0,19,36
67.0,19,36
68.0,18,37
69.0,18,37
70.0,16,39
